name_en,name_kr,wisdom_en,wisdom_kr
Warren Buffett,워렌 버핏,"Price is what you pay. Value is what you get.","가격은 지불하는 것이고 가치는 얻는 것이다."
Warren Buffett,워렌 버핏,"Rule No.1: Never lose money. Rule No.2: Never forget rule No.1.","제1 규칙: 돈을 잃지 마라. 제2 규칙: 제1 규칙을 잊지 마라."
Warren Buffett,워렌 버핏,"Risk comes from not knowing what you're doing.","위험은 자신이 뭘 하는지 모르기 때문에 온다."
Warren Buffett,워렌 버핏,"Be fearful when others are greedy and greedy when others are fearful.","다른 사람들이 욕심내는 때에는 두려움을 갖고, 다른 사람들이 두려워하는 때에는 욕심을 내라."
Warren Buffett,워렌 버핏,"It's far better to buy a wonderful company at a fair price than a fair company at a wonderful price.","멋진 회사를 공정한 가격에 사는 것이 멋진 가격에 평범한 회사를 사는 것보다 훨씬 나은 일이다."
Warren Buffett,워렌 버핏,"Our favorite holding period is forever.","우리가 가장 좋아하는 보유 기간은 영원하다."
Warren Buffett,워렌 버핏,"The stock market is a device for transferring money from the impatient to the patient.","주식 시장은 조급한 사람으로부터 참을성 있는 사람으로 돈을 옮기는 장치이다."
Warren Buffett,워렌 버핏,"You only have to do a very few things right in your life so long as you don't do too many things wrong.","삶에서 매우 적은 것들을 올바르게 하면 되고, 많은 것들을 잘못하지 않는 한 괜찮다."
Warren Buffett,워렌 버핏,"If you're not willing to own a stock for 10 years, don't even think about owning it for 10 minutes.","만약 10년 동안 주식을 소유하고 싶지 않다면, 10분 동안도 소유하지 마라."
Warren Buffett,워렌 버핏,"I don't look to jump over 7-foot bars. I look around for 1-foot bars that I can step over.","7피트의 막대기를 뛰어넘으려고 하지 않는다. 내가 걸을 수 있는 1피트 막대를 찾아서 건너려고 한다."
Andre Kostolany,안드레 코스톨라니,"In investing, what is comfortable is rarely profitable.","투자에서 편안한 것이 수익성이 높은 경우는 드물다."
Andre Kostolany,안드레 코스톨라니,"The stock market is a device for transferring money from the impatient to the patient.","주식 시장은 조급한 사람으로부터 참을성 있는 사람으로 돈을 옮기는 장치이다."
Andre Kostolany,안드레 코스톨라니,"The four most dangerous words in investing are: 'this time it's different'.","투자에서 가장 위험한 4개의 단어는 '이번에는 다르다'이다."
Andre Kostolany,안드레 코스톨라니,"Risk is not knowing what you are doing.","위험은 자신이 뭘 하는지 모르기 때문에 온다."
Andre Kostolany,안드레 코스톨라니,"The stock market is filled with individuals who know the price of everything, but the value of nothing.","주식 시장은 모든 것의 가격을 알지만, 아무 것도 가치를 모르는 개인으로 가득 차 있다."
Andre Kostolany,안드레 코스톨라니,"An investment in knowledge pays the best interest.","지식에 대한 투자는 가장 좋은 이자를 제공한다."
Andre Kostolany,안드레 코스톨라니,"Don't let the fear of losing be greater than the excitement of winning.","이길 기쁨보다 지는 것에 대한 두려움이 더 크게 생각하지 마라."
Andre Kostolany,안드레 코스톨라니,"You get recessions, you have stock market declines. If you don't understand that's going to happen, then you're not ready, you won't do well in the markets.","경기후퇴와 주식시장 하락이 발생한다. 이게 일어날 것이라는 것을 이해하지 못하면, 당신은 준비되어 있지 않고 시장에서 잘 할 수 없을 것이다."
Andre Kostolany,안드레 코스톨라니,"The most important quality for an investor is temperament, not intellect.","투자자에게 가장 중요한 요소는 지성이 아니라 성격이다."
Andre Kostolany,안드레 코스톨라니,"The market is a pendulum that forever swings between unsustainable optimism and unjustified pessimism.","시장은 지속 불가능한 낙관주의와 정당화되지 않은 비관주의 사이에서 영원히 오르내리는 진자이다."
Peter Lynch,피터 린치,"The stock market is a device for transferring money from the impatient to the patient.","주식 시장은 조급한 사람으로부터 참을성 있는 사람으로 돈을 옮기는 장치이다."
Peter Lynch,피터 린치,"Know what you own, and know why you own it.","당신이 소유한 것을 알고, 그것을 소유하는 이유를 알아라."
Peter Lynch,피터 린치,"Investing without research is like playing stud poker and never looking at the cards.","연구 없이 투자하는 것은 스터드 포커를 하는 것과 같고, 카드를 본 적이 없다."
Peter Lynch,피터 린치,"The key to making money in stocks is not to get scared out of them.","주식에서 돈을 벌기 위한 핵심은 그들로부터 겁을 먹지 않는 것이다."
Peter Lynch,피터 린치,"The best investment you can make is in your own abilities.","당신이 할 수 있는 최고의 투자는 당신 자신의 능력에 대한 것이다."
Peter Lynch,피터 린치,"Good stocks don't always go up and bad stocks don't always go down, but in the long run, it pays to own good companies.","좋은 주식이 항상 오르지는 않고, 나쁜 주식이 항상 내려가지는 않지만, 장기적으로는 좋은 회사를 소유하는 것이 이득이다."
Peter Lynch,피터 린치,"The stock market is filled with individuals who know the price of everything, but the value of nothing.","주식 시장은 모든 것의 가격을 아는 사람으로 가득 차 있지만, 아무것도 가치를 모르는 사람으로 가득 차 있습니다."
Peter Lynch,피터 린치,"The four most dangerous words in investing are: 'this time it's different'.","투자에서 가장 위험한 4개의 단어는 '이번에는 다르다'이다."
Peter Lynch,피터 린치,"Never invest in any idea you can't illustrate with a crayon.","크레용으로도 설명할 수 없는 아이디어에는 투자하지 마라."
Peter Lynch,피터 린치,"The stock market is a device for transferring money from the active to the patient.","주식 시장은 활발한 사람으로부터 참을성 있는 사람으로 돈을 옮기는 장치이다."
Ken Fisher,켄 피셔,"The stock market is a device for transferring money from the impatient to the patient.","주식 시장은 조급한 사람으로부터 참을성 있는 사람으로 돈을 옮기는 장치이다."
Ken Fisher,켄 피셔,"Know what you own, and know why you own it.","당신이 소유한 것을 알고, 그것을 소유하는 이유를 알아라."
Ken Fisher,켄 피셔,"Investing without research is like playing stud poker and never looking at the cards.","연구 없이 투자하는 것은 스터드 포커를 하는 것과 같고, 카드를 본 적이 없다."
Ken Fisher,켄 피셔,"The key to making money in stocks is not to get scared out of them.","주식에서 돈을 벌기 위한 핵심은 그들로부터 겁을 먹지 않는 것이다."
Ken Fisher,켄 피셔,"The best investment you can make is in your own abilities.","당신이 할 수 있는 최고의 투자는 당신 자신의 능력에 대한 것이다."
Ken Fisher,켄 피셔,"Good stocks don't always go up and bad stocks don't always go down, but in the long run, it pays to own good companies.","좋은 주식이 항상 오르지는 않고, 나쁜 주식이 항상 내려가지는 않지만, 장기적으로는 좋은 회사를 소유하는 것이 이득이다."
Ken Fisher,켄 피셔,"The stock market is filled with individuals who know the price of everything, but the value of nothing.","주식 시장은 모든 것의 가격을 아는 사람으로 가득 차 있지만, 아무것도 가치를 모르는 사람으로 가득 차 있습니다."
Ken Fisher,켄 피셔,"The four most dangerous words in investing are: 'this time it's different'.","투자에서 가장 위험한 4개의 단어는 '이번에는 다르다'이다."
Ken Fisher,켄 피셔,"Never invest in any idea you can't illustrate with a crayon.","크레용으로도 설명할 수 없는 아이디어에는 투자하지 마라."
Ken Fisher,켄 피셔,"The stock market is a device for transferring money from the active to the patient.","주식 시장은 활발한 사람으로부터 참을성 있는 사람으로 돈을 옮기는 장치이다."
Benjamin Graham,벤자민 그레이엄,"An investment operation is one which, upon thorough analysis, promises safety of principal and a satisfactory return.","투자 작업은 철저한 분석을 거친 결과, 원금의 안전성과 만족스러운 수익을 약속하는 것이다."
Benjamin Graham,벤자민 그레이엄,"In the short run, the market is a voting machine but in the long run, it is a weighing machine.","단기적으로 시장은 투표 기계이지만, 장기적으로는 계량 기계이다."
Benjamin Graham,벤자민 그레이엄,"The intelligent investor is a realist who sells to optimists and buys from pessimists.","지적인 투자자는 낙관주의자에게 판매하고, 비관주의자로부터 구입한다."
Benjamin Graham,벤자민 그레이엄,"The stock market is filled with individuals who know the price of everything, but the value of nothing.","주식 시장은 모든 것의 가격을 아는 사람으로 가득 차 있지만, 아무것도 가치를 모르는 사람으로 가득 차 있다."
Benjamin Graham,벤자민 그레이엄,"Price is what you pay; value is what you get.","가격은 당신이 지불하는 것이고, 가치는 당신이 얻는 것이다."
Benjamin Graham,벤자민 그레이엄,"The investor's chief problem - and even his worst enemy - is likely to be himself.","투자자의 가장 큰 문제 - 그리고 심지어 가장 큰 적 - 은 그 자신일 것이다."
Benjamin Graham,벤자민 그레이엄,"The investor who permits himself to be stampeded or unduly worried by unjustified market declines in his holdings is perversely transforming his basic advantage into a basic disadvantage.","보유 자산의 불합리한 시장 하락으로 인해 돌진당하거나 과도하게 걱정하는 투자자는 교묘하게 자신의 기본적인 이점을 기본적인 불이익으로 변형시키고 있다."
Benjamin Graham,벤자민 그레이엄,"You are neither right nor wrong because the crowd disagrees with you. You are right because your data and reasoning are right.","당신이 옳은 것은 대중이 당신과 다르게 생각하는 것이 아니라, 당신의 데이터와 추론이 옳기 때문이다."
Benjamin Graham,벤자민 그레이엄,"To achieve satisfactory investment results is easier than most people realize; to achieve superior results is harder than it looks.","만족스러운 투자 결과를 얻는 것은 대부분의 사람들이 인식하는 것보다 쉽지만, 우수한 결과를 얻는 것은 보다 어렵다."
Benjamin Graham,벤자민 그레이엄,"The investor with a portfolio of sound stocks should expect their prices to fluctuate and should neither be concerned by sizable declines nor become excited by sizable advances.","건강한 종목으로 구성된 포트폴리오를 가진 투자자는 종목 가격의 변동을 예상하고, 상당한 하락에 대해서도 걱정하지 않고, 큰 상승에 대해서도 너무 흥분하지 않아야 합니다."
John Templeton,존 템플턴,"The stock market is never obvious. It is designed to fool most of the people, most of the time.","주식 시장은 결코 명백하지 않다. 대부분의 사람들을 대부분의 시간 속이도록 설계되었다."
John Templeton,존 템플턴,"The investor who says, 'This time is different,' when in fact it's virtually a repeat of an earlier situation, has uttered among the four most costly words in the annals of investing.","이전 상황의 거의 반복임에도 불구하고 "이번에는 다르다"고 말하는 투자자는 투자 기록에서 가장 비싼 네 단어 중 하나를 발언한 것이다."
John Templeton,존 템플턴,"Bull markets are born on pessimism, grown on skepticism, mature on optimism, and die on euphoria.","상승장은 비관주의에서 시작되고, 회의론적으로 성장하며, 낙관주의에 이르러 성숙하며, 완만한 기분에 죽는다."
John Templeton,존 템플턴,"It's not whether you're right or wrong that's important, but how much money you make when you're right and how much you lose when you're wrong.","중요한 것은 옳거나 그르다가 아니라, 당신이 옳을 때 얼마나 많은 돈을 벌고, 틀렸을 때 얼마나 많은 돈을 잃는가이다."
John Templeton,존 템플턴,"The four most dangerous words in investing are: 'this time it's different'.","투자에서 가장 위험한 네 단어는 "이번에는 다르다"이다."
John Templeton,존 템플턴,"The best time to buy is when there's blood in the streets.","가장 좋은 매수 시점은 거리에 피가 흐를 때이다."
John Templeton,존 템플턴,"The market can remain irrational longer than you can remain solvent.","시장은 당신이 파산하기 전에 미친듯이 일관될 수 있다."
John Templeton,존 템플턴,"The investor of today does not profit from yesterday's growth.","오늘의 투자자는 어제의 성장으로 이익을 얻지 않는다."
John Templeton,존 템플턴,"Stocks are bought not in fear but in hope. They are sold out of greed, not out of fear.","주식은 두려움에서 사지 않고, 희망에서 사는 것이다. 그것들은 두려움에서 팔리지 않고, 욕심에서 팔린다."
John Templeton,존 템플턴,"The stock market is a device for transferring money from the impatient to the patient.","주식 시장은 성급한 사람들로부터 참을성 있는 사람들로 돈을 옮기는 장치이다."
Seth Klarman,세스 클라만,"The stock market is never obvious. It is designed to fool most of the people, most of the time.","주식 시장은 결코 명백하지 않다. 대부분의 사람들을 대부분의 시간 속이도록 설계되었다."
Seth Klarman,세스 클라만,"The investor who says, 'This time is different,' when in fact it's virtually a repeat of an earlier situation, has uttered among the four most costly words in the annals of investing.","이전 상황의 거의 반복임에도 불구하고 "이번에는 다르다"고 말하는 투자자는 투자 기록에서 가장 비싼 네 단어 중 하나를 발언한 것이다."
Seth Klarman,세스 클라만,"Bull markets are born on pessimism, grown on skepticism, mature on optimism, and die on euphoria.","상승장은 비관주의에서 시작되고, 회의론적으로 성장하며, 낙관주의에 이르러 성숙하며, 완만한 기분에 죽는다."
Seth Klarman,세스 클라만,"It's not whether you're right or wrong that's important, but how much money you make when you're right and how much you lose when you're wrong.","중요한 것은 옳거나 그르다가 아니라, 당신이 옳을 때 얼마나 많은 돈을 벌고, 틀렸을 때 얼마나 많은 돈을 잃는가이다."
Seth Klarman,세스 클라만,"The four most dangerous words in investing are: 'this time it's different'.","투자에서 가장 위험한 네 단어는 "이번에는 다르다"이다."
Seth Klarman,세스 클라만,"The best time to buy is when there's blood in the streets.","가장 좋은 매수 시점은 거리에 피가 흐를 때이다."
Seth Klarman,세스 클라만,"The market can remain irrational longer than you can remain solvent.","시장은 당신이 파산하기 전에 미친듯이 일관될 수 있다."
Seth Klarman,세스 클라만,"The investor of today does not profit from yesterday's growth.","오늘의 투자자는 어제의 성장으로 이익을 얻지 않는다."
Seth Klarman,세스 클라만,"Stocks are bought not in fear but in hope. They are sold out of greed, not out of fear.","주식은 두려움에서 사지 않고, 희망에서 사는 것이다. 그것들은 두려움에서 팔리지 않고, 욕심에서 팔린다."
Seth Klarman,세스 클라만,"If you're not willing to react with equanimity to a market price decline of 50% two or three times a century, you're not fit to be a common shareholder, and you deserve the mediocre result you're going to get compared to the people who do have the temperament, who can be more philosophical about these market fluctuations.","만약 당신이 1세기에 2~3번의 50% 하락을 침착하게 대처할 수 없다면, 당신은 일반 주주로 적격하지 않으며, 이 시장 변동에 대해 철학적인 태도를 가질 수 있는 사람들과 비교하여 볼 때, 허접한 결과를 받을 자격이 있다."
William O'Neil,윌리엄 오닐,"Develop a system that makes profits in both bull and bear markets.","강세장이건 약세장이건 수익을 올리는 시스템을 개발하라."
William O'Neil,윌리엄 오닐,"Growth stocks can be defined as companies with annual sales and profit growth of over 20%. Statistics show that leading stocks had an average P/E ratio of 30 before their major price advances.","성장주는 연평균 20% 이상의 매출과 이익이 증가하는 기업이라고 할 수 있다. 통계에 의하면 주도주는 주가 급등 전 평균 PER이 30이라고 한다."
William O'Neil,윌리엄 오닐,"The best stocks had ROE, a measure of profitability, exceeding 17%.","최고의 주식들은 수익성 지표인 ROE가 최소 17%를 넘었다."
William O'Neil,윌리엄 오닐,"Look for companies with successful new products or well-received services. Verify if the company produces products with large markets and repeat purchases. Supply shortages or rising sales prices are also positive signs.","잘 팔리는 신제품이나 호응도가 좋은 서비스를 보유한 회사의 주식이 좋다. 시장이 크고 반복구매가 일어나는 제품을 생산하는 회사인지 확인하라. 공급 부족이나 판매가 상승이 나타나는 것도 좋다."
William O'Neil,윌리엄 오닐,"Opportunities are open to everyone. In this era, it's not enough to just stick to your job and receive a salary. To do what you want, go where you want, and have what you want, you must save and invest wisely.","기회는 누구에게나 열려 있다. 이런 시대에 단순히 자신의 직업에 안주해 월급만 받는 건 충분치 않다. 당신이 하고 싶은 걸 하고 가고 싶은 곳을 가며 갖고 싶은 것을 갖기 위해선 반드시 지혜롭게 저축하고 투자해야 한다."
William O'Neil,윌리엄 오닐,"Many investment professionals make the serious mistake of buying stocks that have fallen sharply in price. This is the surest way to sink into the quagmire.","많은 투자 전문가들도 주가가 큰 폭으로 하락한 주식을 매수하는 심각한 실수를 저지른다. 이런 실수야말로 수렁으로 빠져드는 가장 확실한 지름길이라 할 수 있다."
William O'Neil,윌리엄 오닐,"Neither bull markets nor bear markets end easily. They typically go through two or three pullbacks, deceiving and completely shaking out the last remaining speculators.","강세장이건 약세장이건 그리 쉽게 막을 내리지는 않는다. 대개 두세 차례의 되돌림 과정을 거치면서 마지막 남은 최후의 투기꾼까지 현혹하고 완전히 흔들어 놓는다."
William O'Neil,윌리엄 오닐,"Look for sectors with many stocks making new highs. Stocks in sectors with many new highs often show good returns.","그 종목이 속한 업종에서 많은 신고가 종목이 있는지를 살펴라. 해당 업종에서 많은 신고가 종목이 있는 경우, 종목의 수익률이 좋은 경우가 많다."
William O'Neil,윌리엄 오닐,"The stock market saying 'buy low, sell high' is completely wrong. Historically, stocks making new highs continue to rise, while those making new lows continue to fall until delisting.","주식 격언 중에서 '쌀 때 사서 비쌀 때 팔아라'는 완전히 틀린 말이다. 역사적으로 신고가 종목은 계속 오르고 신저가 종목은 계속 떨어지다가 상장 폐지된다."
William O'Neil,윌리엄 오닐,"It's actually a waste of time to listen to market updates or technical analysts and market strategists who cite dozens of technical and economic indicators to predict market direction. Market updates only increase investors' doubts and amplify uncertainty and confusion.","시장 속보 혹은 기술 분석가나 시장 전략가들이 수십 가지의 기술적 지표와 경제지표를 내세워 시장이 이렇게 갈 것이라고 말하는 데 귀 기울이는 건 사실 시간낭비에 불과하다. 시장 속보는 투자자들에게 의구심만 키우고 불확실성과 혼란만 가중시킨다."
Charlie Munger,찰리 멍거,"Of the 50 most successful companies in 1911, only GE survives. This shows how fearsome competitors' attacks can be. History shows that over long periods, the chances of any company surviving as its owners wish are not very high.","1911년에 가장 잘나가던 50개 기업 중에서 살아남는 것은 GE 하나 뿐이다. 경쟁자들의 공격이 얼마나 무서운 것인지 알 수 있다. 긴 세월에 걸쳐서 역사는, 어떤 기업이라 하더라도, 그 기업을 소유하고 있는 사람들이 원하는 대로 살아남을 수 있는 가능성은 결코 크지 않음을 보여주고 있다."
Charlie Munger,찰리 멍거,"Following the crowd means retreating to the average.","대중을 따라하는 것은 평균으로 후퇴하겠다는 말이다."
Charlie Munger,찰리 멍거,"Often you see a business with really outstanding returns. The key question is 'How long can they sustain it?' One way to answer this is to think about what's the true source of those returns. And then look at what variables could eliminate that source.","종종 당신은 정말 뛰어난 수익을 내는 사업을 본다. '저 수익을 얼마나 오랫동안 지탱할 수 있을까?'가 관건이다. 저 질문에 대한 답을 알 수 있는 한가지 방법이 있다. 저 수익을 가져오는 진정한 근원이 무엇인지를 생각하는 것이다. 그리고 그 근원을 없앨만한 변수가 무엇인지 살펴보는 것이다."
Charlie Munger,찰리 멍거,"To get superior long-term investment results, you have to be willing to endure poor short-term results.","장기적으로 뛰어난 투자 성적을 얻으려면, 단기적으로 나쁜 성적을 견뎌내야 한다."
Charlie Munger,찰리 멍거,"Investors need to combine almost insane grit with patience. And be ready to pounce when opportunity appears. Because opportunities don't last very long in this world.","투자자들은 제 정신이 아닐 정도의 근성과 인내심을 결합시킬 필요가 있다. 그리고 기회가 눈앞에 나타나면 덥썩 낚아 챌 준비가 되어 있어야 한다. 이 세상에서 기회라는 것은 그리 오래 머물러 있지 않기 때문이다."
Charlie Munger,찰리 멍거,"While others are trying to be smarter, I'm just trying not to be dumber.","다른 이들은 더 똑똑하게 행동하려고 애쓰고 있지만, 나는 단지 바보가 되지 않을려고 노력할 뿐이다."
Charlie Munger,찰리 멍거,"The ideal business is one that earns very high returns on capital and that keeps using lots of capital at those high returns.","이상적인 기업은 자본수익률이 아주 높고, 그 수익을 동일한 수익률오 사업에 재투자 할 수 있는 기업이다."
Charlie Munger,찰리 멍거,"High intelligence can be the source of arrogance. If you act thoughtfully and don't rush into things outside your expertise, high intelligence can be an advantage for investors.","높은 지능은 자만심을 불러오는 원흉이다. 자신의 전문 분야가 아닌 것에 대해 섣불리 나서지 않고 사려깊게 행동한다면, 높은 지능은 투자자에게 강점이 될 것이다."
Charlie Munger,찰리 멍거,"Investing is about finding a few great companies and then sitting on your ass.","투자란 몇 군데 훌륭한 회사를 찾아내어 그저 엉덩이를 붙이고 눌러앉아 있는 것이다."
Charlie Munger,찰리 멍거,"Move only when you have an advantage. This is fundamental. You must understand the odds and bet only when you have the edge.","이익이 확실할 때만 움직이십시오. 이건 가장 기본적인 것입니다. 승산을 이해해야 하고, 유리할 때만 베팅하는 훈련을 해야 합니다."
Charlie Munger,찰리 멍거,"Envy is crazy. It leads to 100% destruction. Life gets much better when you get away from envy early.","질투는 미친 짓입니다. 100% 파멸을 부릅니다. 일치감치 질투에서 벗어나면 인생이 훨씬 나아집니다."